Michael Dewar Head
Kurt Weill
Aaron Copland
Hans Erich Apostel
Marcel Poot
Edmund Rubbra
Gerald Finzi
Joaquín Rodrigo
Maurice Durufle
William Joseph
Richard Rodgers
Sir Lennox Berkeley
Vittorio Giannini
John Antill
Richard Addinsell
Nathan Milstein
Ernesto Halffter
Eugene Bozza
Alan Rawsthorne
Matyas Seiber
Eduard Tubin
Daniel Sternefeld
Dag Ivar Wiren
William Alwyn
Benjamin Frankel
Dmitri Shostakovich
Paul Creston
Elizabeth Maconchy
Miklós Rózsa
Oedoen Partos
Frank Perkins
Hugo Distler
Howard Ferguson
Olivier Messiaen
Paul Constantinescu
Vagn Holmboe
Julius Chajes
Samuel Barber
H. Owen Reed
Ronald Binge
Werner Wolf Glaser
Emanuel Elenescu
Jehan Alain
Alan Hovhaness
Bernard Herrmann
Gian Carlo Menotti
Carlos Guastavino
Jean Françaix
Norman Dello Joio
Witold Lutoslavski
George Lloyd
Morton Gould
Harold Truscott
Carlos Surinach
David Diamond
Douglas Lilburn
Henri Dutilleux
Bernard Stevens
Alberto Ginastera
George Rochberg
Leonard Bernstein
Vaclav Nelhybel
Mieczysław Weinberg
Mircea Basarab
Robert Simpson
Roger Nixon
Malcolm Arnold
Pierre Petit
Kaljo Raid
Peter Mennin
Günter Braun
Ida Presti
Ernest Tomlinson
Peter Lamb
Kirke Mechem
Julian Orbon
Ivan Jirko
Michael Gielen
Robert Muczynski
Roger Matton
Kenneth Leighton
Ron Nelson
Veljo Tormis
John McLeod
William Mathias
Alfred Schnittke
Arvo Part
Nicholas Maw
Milan Kymlicka
Marlos Nobre
Joanna Bruzdowicz
Robin Holloway
John Tavener
John Rutter
Emil Tabakov
Andrew Lloyd Webber
Pierre Gallant
Reinhard Febel
Robert Saxton
