0 1 2
0 5 -99
0 6 -43
0 9 38
0 17 28
0 18 72
0 21 -70
0 22 -31
0 24 45
0 27 -17
0 28 -14
0 32 -27
0 33 49
0 37 95
0 43 -71
0 46 -58
0 50 14
0 52 86
0 57 33
0 59 -82
0 62 -8
0 63 -49
0 64 -24
0 65 84
0 67 43
0 69 -2
0 72 -61
0 74 -69
0 79 -38
0 80 -92
0 86 8
0 88 41
0 89 32
0 90 84
0 91 -41
0 96 16
0 98 -17
1 1 -48
1 4 86
1 5 10
1 7 -62
1 10 24
1 14 -43
1 18 90
1 19 -63
1 20 49
1 33 -44
1 34 74
1 37 -58
1 43 80
1 46 -29
1 49 28
1 50 36
1 54 98
1 55 -94
1 57 10
1 60 -51
1 66 76
1 68 -35
1 78 12
1 79 92
1 83 56
1 87 -73
1 88 26
1 90 51
1 92 58
1 94 -17
1 95 36
1 96 -66
2 0 33
2 1 -16
2 7 40
2 10 -39
2 13 53
2 14 -10
2 18 31
2 19 70
2 21 93
2 23 -29
2 24 78
2 26 -6
2 37 -7
2 39 12
2 44 -73
2 45 89
2 48 -74
2 53 69
2 58 -15
2 59 14
2 61 34
2 62 -87
2 64 52
2 66 -18
2 68 12
2 69 -80
2 72 62
2 73 14
2 78 2
2 87 -90
2 88 -43
2 91 12
2 92 26
2 93 -72
2 95 -21
2 97 83
2 98 70
3 2 -46
3 5 -68
3 13 -14
3 16 82
3 18 -25
3 19 -95
3 27 -37
3 30 54
3 40 -8
3 42 -18
3 43 47
3 46 83
3 47 -19
3 54 19
3 56 -6
3 57 -40
3 63 -53
3 64 -52
3 66 84
3 72 42
3 77 37
3 78 46
3 80 -92
3 82 68
3 84 -28
3 85 -69
3 87 -30
3 90 49
3 91 83
3 94 49
4 0 -83
4 1 11
4 3 14
4 5 26
4 7 10
4 8 -19
4 10 -87
4 12 -5
4 15 71
4 17 68
4 20 -53
4 22 -84
4 23 15
4 26 32
4 30 93
4 36 59
4 37 94
4 41 -36
4 46 11
4 49 79
4 50 -81
4 54 -37
4 55 -69
4 60 38
4 61 36
4 62 -66
4 64 -23
4 72 -50
4 74 99
4 75 -11
4 82 100
4 84 12
4 94 -11
4 96 -63
4 98 -91
5 0 -94
5 2 20
5 7 58
5 8 -85
5 10 -94
5 12 4
5 14 -45
5 17 -26
5 18 -78
5 19 -1
5 22 -27
5 24 -92
5 26 -37
5 27 58
5 28 -96
5 30 36
5 31 58
5 32 51
5 37 -42
5 39 16
5 42 -97
5 49 -42
5 50 -50
5 52 -83
5 56 -53
5 64 19
5 68 -38
5 69 -3
5 74 26
5 77 79
5 78 -25
5 79 -8
5 80 90
5 81 78
5 83 73
5 85 -76
5 88 39
5 90 9
5 95 36
5 97 14
5 98 -43
6 7 -76
6 9 -49
6 11 52
6 15 -60
6 16 86
6 21 60
6 28 -97
6 40 -52
6 41 42
6 42 -48
6 43 28
6 44 76
6 45 -71
6 46 -60
6 49 -91
6 50 -13
6 52 91
6 56 -29
6 65 -85
6 66 -85
6 67 1
6 69 10
6 71 77
6 83 -43
6 86 -51
6 87 38
6 88 69
6 89 67
6 90 -83
6 92 65
6 94 -76
7 2 -14
7 4 71
7 6 72
7 8 69
7 9 67
7 10 1
7 12 -26
7 16 94
7 18 -58
7 20 76
7 21 -89
7 24 -43
7 25 71
7 26 94
7 28 36
7 34 56
7 38 90
7 42 -24
7 43 -46
7 44 -57
7 48 84
7 53 -18
7 55 -94
7 57 -5
7 61 -70
7 62 -2
7 63 -83
7 65 49
7 66 65
7 69 -79
7 72 42
7 73 -46
7 74 84
7 77 -75
7 79 89
7 83 4
7 86 96
7 91 -51
7 95 -64
7 97 87
8 0 43
8 4 73
8 8 28
8 10 -3
8 11 -57
8 15 -42
8 17 -91
8 18 -22
8 21 -25
8 22 82
8 23 -5
8 26 53
8 32 -88
8 39 53
8 42 39
8 48 -82
8 51 -38
8 54 -90
8 55 -48
8 63 46
8 64 39
8 65 -94
8 69 -90
8 71 8
8 75 -10
8 76 90
8 77 -6
8 78 50
8 79 70
8 84 -6
8 85 -78
8 90 33
8 93 -27
8 94 -60
8 97 -6
9 1 -4
9 5 80
9 7 -44
9 8 44
9 10 -29
9 13 -98
9 14 38
9 15 -68
9 16 -100
9 17 -95
9 19 79
9 23 5
9 29 -53
9 31 11
9 34 -33
9 38 76
9 41 -50
9 48 38
9 49 -84
9 50 12
9 55 -70
9 57 -70
9 59 -48
9 63 71
9 71 77
9 74 79
9 75 -91
9 81 -36
9 82 63
9 85 1
9 86 36
9 88 -60
9 92 -77
9 95 -89
9 96 -37
9 99 87
10 0 10
10 2 75
10 9 -75
10 12 88
10 13 -53
10 14 -48
10 20 65
10 21 100
10 27 -77
10 32 -78
10 34 -89
10 44 -70
10 48 9
10 60 76
10 61 10
10 62 17
10 64 -13
10 65 29
10 66 99
10 67 -77
10 76 -96
10 77 50
10 79 -31
10 82 20
10 85 -62
10 88 60
10 92 89
10 95 60
11 4 41
11 6 -10
11 12 62
11 13 -42
11 17 20
11 19 70
11 22 -2
11 26 -94
11 29 -77
11 32 -41
11 33 75
11 34 89
11 39 -24
11 41 89
11 53 61
11 55 -75
11 58 29
11 59 46
11 60 -88
11 63 -42
11 65 -27
11 66 -23
11 69 -50
11 75 -88
11 82 77
11 87 -94
11 88 52
11 89 -63
11 90 -28
11 93 44
11 94 -23
12 0 74
12 1 -29
12 6 25
12 7 51
12 10 6
12 11 59
12 13 -53
12 15 73
12 20 -72
12 23 7
12 25 74
12 26 -22
12 28 89
12 29 -29
12 30 53
12 35 -99
12 38 -20
12 46 -42
12 48 54
12 53 -56
12 54 -98
12 56 72
12 57 49
12 58 46
12 59 78
12 60 79
12 64 -92
12 65 -69
12 68 -87
12 83 62
12 84 -89
12 92 97
13 0 -14
13 3 -42
13 4 -49
13 5 -71
13 7 14
13 8 -59
13 9 -12
13 13 96
13 19 81
13 22 -21
13 24 49
13 26 83
13 34 -39
13 36 -47
13 43 42
13 44 -92
13 45 -28
13 46 -76
13 51 -54
13 59 -81
13 64 -50
13 69 -73
13 72 -91
13 73 -99
13 75 -69
13 78 -81
13 84 -75
13 96 -62
14 1 95
14 5 31
14 8 60
14 13 21
14 15 76
14 17 -55
14 19 -28
14 23 61
14 26 -63
14 34 52
14 36 91
14 38 -6
14 43 -49
14 44 93
14 46 -57
14 47 86
14 50 56
14 52 -66
14 54 4
14 55 -18
14 60 18
14 65 -98
14 66 22
14 67 91
14 70 33
14 72 -97
14 75 26
14 81 17
14 82 -18
14 83 63
14 84 89
14 90 -74
14 93 -23
14 96 -55
14 99 66
15 1 36
15 3 19
15 6 86
15 7 -15
15 8 36
15 9 12
15 19 50
15 20 64
15 22 70
15 23 99
15 24 -73
15 31 -39
15 33 -89
15 34 -37
15 39 -95
15 43 -86
15 44 35
15 48 50
15 49 -75
15 52 94
15 53 22
15 55 -80
15 56 -7
15 60 34
15 61 -11
15 68 46
15 81 -99
15 87 -93
15 88 75
15 90 17
15 93 -58
15 95 -24
15 96 58
16 0 -34
16 6 51
16 9 -82
16 11 -18
16 13 -73
16 19 15
16 20 39
16 23 5
16 27 -51
16 36 -11
16 37 -86
16 39 14
16 40 -42
16 41 14
16 53 -61
16 54 22
16 55 -67
16 57 -71
16 64 8
16 65 -59
16 66 84
16 69 -92
16 71 79
16 74 -59
16 75 29
16 77 83
16 78 -31
16 80 14
16 85 44
16 86 -46
16 90 41
16 94 92
16 97 -82
17 3 -34
17 7 -77
17 12 -56
17 24 99
17 28 -4
17 31 -62
17 33 -64
17 37 49
17 38 -88
17 39 91
17 44 40
17 47 55
17 51 85
17 52 -2
17 54 -95
17 55 11
17 64 64
17 65 45
17 70 99
17 71 -61
17 73 72
17 74 95
17 75 69
17 78 -63
17 81 -100
17 83 -8
17 84 -34
17 88 34
17 89 -2
17 91 -70
17 92 -83
17 93 -8
17 95 -54
17 98 66
18 1 -4
18 8 -20
18 9 98
18 10 -20
18 12 29
18 15 77
18 23 39
18 34 15
18 35 -80
18 37 18
18 39 -19
18 40 -15
18 42 -14
18 50 6
18 51 19
18 52 -46
18 54 87
18 56 57
18 61 -2
18 63 -99
18 68 84
18 73 -98
18 74 -56
18 75 68
18 76 60
18 78 63
18 79 31
18 83 -11
18 90 -20
18 93 45
18 94 -27
18 98 58
18 99 90
19 9 -16
19 11 99
19 13 45
19 18 67
19 20 -7
